id,name,avg_user_rating,user_ratings_count,reviews_count,added,avg_playtime,esrb_rating,release_year,release_month,release_quarter,critic_rating,rating_gap,genre_count,is_action,is_adventure,is_arcade,is_board_games,is_card,is_casual,is_educational,is_family,is_fighting,is_indie,is_massively_multiplayer,is_platformer,is_puzzle,is_rpg,is_racing,is_shooter,is_simulation,is_sports,is_strategy,platform_type,platform_count,store_count
14154,DeadCore,3.35,73,75,912,1,,2014,10,4,3.9,-0.5499999999999998,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,multi_platform,5,3
21530,Numba Deluxe,1.57,21,21,911,1,,2014,5,2,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,pc_only,1,1
16178,Marble Mayhem: Fragile Ball,1.67,39,39,911,3,,2015,7,3,,,9,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,pc_only,1,1
257203,Bless Unleashed,2.43,52,53,910,2,,2020,3,1,,,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,multi_platform,3,3
21668,QuestRun,1.83,41,41,910,5,Everyone,2014,4,2,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pc_only,4,3
1602,ROME: Total War,4.4,250,252,910,2,,2004,9,3,4.4,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,pc_only,4,2
423950,Wanderlust: Transsiberian,2.28,18,18,909,1,Teen,2020,4,2,,,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,pc_only,4,3
257194,Blacksad: Under the Skin,3.74,142,149,909,9,Mature,2019,11,4,3.15,0.5900000000000003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,5,5
27418,The Legend of Zelda: The Minish Cap,4.39,365,369,909,24,Everyone,2004,11,4,,,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,console_only,3,1
17810,NecroVisioN: Lost Company,2.72,43,43,909,1,,2009,12,4,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pc_only,1,2
10020,Arizona Sunshine,3.72,85,86,909,3,Adults Only,2016,12,4,4.05,-0.3299999999999996,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,2,2
9504,Vindictus,2.86,64,65,909,2,,2012,6,2,3.8,-0.94,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pc_only,1,1
499,Battle Islands,2.08,53,53,909,1,Teen,2013,12,4,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,multi_platform,5,5
52336,Age of Empires: Definitive Edition,4.05,98,102,908,3,Everyone,2018,2,1,3.45,0.5999999999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pc_only,1,2
14096,Sakura Angels,2.59,29,29,908,4,,2015,1,1,,,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,pc_only,3,1
12797,The Journey Down: Chapter Three,2.7,23,23,908,4,Teen,2017,8,3,4.05,-1.3499999999999996,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,multi_platform,7,5
10928,Leviathan: Warships,2.41,29,29,908,1,,2013,4,2,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pc_only,2,1
9849,Forts,3.22,46,46,908,3,,2017,4,2,3.7,-0.48,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pc_only,1,1
3861,CastleStorm,2.86,64,64,908,3,Teen,2013,5,2,3.65,-0.79,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,multi_platform,6,4
3206,Shutshimi,2.11,80,81,908,3,Everyone 10+,2015,8,3,,,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,multi_platform,6,3
261232,Eastward,3.67,94,100,907,4,Teen,2021,9,3,4.0,-0.33000000000000007,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,multi_platform,4,4
2770,Foul Play,2.91,116,117,907,2,,2013,9,3,3.45,-0.54,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,6,3
29185,Mario + Rabbids Kingdom Battle,4.11,379,385,906,0,Everyone 10+,2017,8,3,4.25,-0.13999999999999968,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,console_only,1,1
17538,Chip,2.2,44,44,906,3,,2014,4,2,,,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,pc_only,1,1
19585,Etherlords II,3.92,90,90,905,1,,2003,10,4,3.9,0.020000000000000018,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,pc_only,1,2
18342,Monday Night Combat,2.88,66,66,905,2,Teen,2010,8,3,4.1,-1.2199999999999998,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,multi_platform,3,3
